[Data: 20/05/24 13:22:48][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 18:42:29][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/24 18:45:06][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: -1
[Data: 20/05/24 18:45:41][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 18:45:42][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 18:45:56][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 19:00:03][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 0; NewSlot: 3
[Data: 20/05/24 19:00:05][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: 0
[Data: 20/05/24 19:03:57][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 19:06:57][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:07:15][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:07:29][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 0; NewSlot: 3
[Data: 20/05/24 19:12:20][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/24 19:24:37][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: 4
[Data: 20/05/24 19:24:39][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 4; NewSlot: 1
[Data: 20/05/24 19:31:40][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 19:34:26][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 19:34:38][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 19:35:50][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 19:35:57][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:43:01][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:43:07][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 19:43:13][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 1; NewSlot: 2
[Data: 20/05/24 19:43:17][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/24 19:43:21][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 2; NewSlot: 3
[Data: 20/05/24 19:44:14][Room.addPlayer] Jogador '5764' 'leandro'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:44:24][Room.RemovePlayer] Jogador '5764' 'leandro'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:44:29][Room.addPlayer] Jogador '5764' 'leandro'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:45:38][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 19:45:43][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 19:46:07][Room.RemovePlayer] Jogador '5764' 'leandro'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:46:10][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:46:18][Room.addPlayer] Jogador '5764' 'leandro'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:47:04][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:47:09][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 19:47:35][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 19:48:25][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: -1
[Data: 20/05/24 19:48:44][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 19:48:46][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 2; NewSlot: 3
[Data: 20/05/24 19:51:49][Room.RemovePlayer] Jogador '5764' 'leandro'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 19:55:23][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 19:55:28][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 19:57:39][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: 5
[Data: 20/05/24 19:57:57][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 5; NewSlot: 0
[Data: 20/05/24 19:59:37][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 19:59:46][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 20:01:05][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 1; NewSlot: 2
[Data: 20/05/24 20:01:07][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/24 20:02:56][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 20:05:48][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: -1
[Data: 20/05/24 20:06:05][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 20:06:43][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 20:08:18][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 20:08:23][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 20:08:50][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 20:09:36][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: 3
