[Data: 20/05/17 13:37:20][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 15:51:32][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:57:48][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 15:58:00][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 5; NewSlot: -1
[Data: 20/05/17 15:58:05][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 15:58:10][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 15:58:11][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 15:58:13][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 15:58:36][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 15:59:06][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 15:59:51][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 16:01:02][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 16:03:55][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 16:03:57][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 16:04:05][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 16:14:39][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 16:35:00][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 16:47:27][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 16:48:19][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 16:51:59][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 16:52:01][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 16:52:50][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 16:53:00][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 17:00:02][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 17:00:24][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 17:09:07][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 17:09:15][AllUtils.TryBalancePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 17:11:47][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 17:13:41][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 17:13:57][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 1
[Data: 20/05/17 17:19:25][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 17:19:35][AllUtils.TryBalancePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 17:21:22][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 17:26:10][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 17:26:25][AllUtils.TryBalancePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 17:37:07][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 17:49:10][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 17:49:17][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 17:50:45][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 17:50:51][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 17:50:58][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 18:07:53][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:10:37][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:15:09][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 18:15:23][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 1
[Data: 20/05/17 18:16:00][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:16:06][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:16:15][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:24:59][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 18:25:25][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:25:31][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:25:37][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:35:03][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:35:51][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:37:29][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 18:37:42][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 18:37:45][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: 1
[Data: 20/05/17 18:37:49][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: 0
[Data: 20/05/17 18:37:51][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 18:37:54][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 18:37:56][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 18:38:00][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 18:38:05][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 18:38:07][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 1
[Data: 20/05/17 18:42:27][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 18:44:44][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 18:45:53][Room.addPlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 18:58:27][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 5
[Data: 20/05/17 18:58:34][AllUtils.TryBalancePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 5; NewSlot: 5
[Data: 20/05/17 19:01:50][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 5
[Data: 20/05/17 19:02:01][AllUtils.TryBalancePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 5; NewSlot: 5
[Data: 20/05/17 19:02:50][Room.RemovePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 19:02:59][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: 5
[Data: 20/05/17 19:03:25][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 0
[Data: 20/05/17 19:04:12][Room.addPlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 19:04:23][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 5; NewSlot: 4
[Data: 20/05/17 19:04:24][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 4; NewSlot: 3
[Data: 20/05/17 19:16:04][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 19:16:32][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 19:30:23][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 19:30:25][AllUtils.TryBalancePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 19:41:18][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 19:41:40][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 19:41:42][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 4; NewSlot: 1
[Data: 20/05/17 19:52:44][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 20:07:08][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 20:08:37][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: 1
[Data: 20/05/17 20:08:40][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 3; NewSlot: 0
[Data: 20/05/17 20:11:56][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 20:14:47][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 20:18:29][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 20:18:30][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 4; NewSlot: 1
[Data: 20/05/17 20:18:38][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 20:18:41][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 20:28:07][AllUtils.TryBalancePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 20:35:34][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 20:44:41][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 20:46:05][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 5
[Data: 20/05/17 20:46:09][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 5; NewSlot: 2
[Data: 20/05/17 20:47:01][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 20:47:05][AllUtils.TryBalancePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 4; NewSlot: 4
[Data: 20/05/17 20:47:05][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 5
[Data: 20/05/17 20:47:07][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 5; NewSlot: 2
[Data: 20/05/17 20:47:11][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 20:47:14][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 20:47:37][Room.addPlayer] Jogador '5805' 'JOSEP'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 20:49:24][AllUtils.TryBalancePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 4; NewSlot: 4
[Data: 20/05/17 20:49:54][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 20:50:23][Room.SwitchNewSlot] Jogador '5805' 'JOSEP'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 20:50:24][Room.SwitchNewSlot] Jogador '5805' 'JOSEP'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 20:54:24][Room.addPlayer] Jogador '5806' 'Kaway'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 20:54:39][Room.RemovePlayer] Jogador '5806' 'Kaway'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 20:54:49][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 4; NewSlot: 3
[Data: 20/05/17 20:54:51][AllUtils.TryBalancePlayer] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 3
[Data: 20/05/17 20:55:00][Room.addPlayer] Jogador '5806' 'Kaway'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 20:58:46][Room.RemovePlayer] Jogador '5805' 'JOSEP'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 20:58:53][Room.RemovePlayer] Jogador '5806' 'Kaway'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 20:59:12][Room.addPlayer] Jogador '5806' 'Kaway'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 20:59:40][Room.RemovePlayer] Jogador '5806' 'Kaway'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 20:59:49][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 4; NewSlot: -1
[Data: 20/05/17 20:59:59][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 21:00:15][Room.addPlayer] Jogador '5805' 'JOSEP'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 21:01:13][Room.SwitchNewSlot] Jogador '5805' 'JOSEP'; OldSlot: 3; NewSlot: 4
[Data: 20/05/17 21:01:15][Room.RemovePlayer] Jogador '5805' 'JOSEP'; OldSlot: 4; NewSlot: -1
[Data: 20/05/17 21:01:22][Room.addPlayer] Jogador '5805' 'JOSEP'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 21:02:46][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: 7
[Data: 20/05/17 21:02:53][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 7; NewSlot: 0
[Data: 20/05/17 21:02:54][Room.addPlayer] Jogador '5806' 'Kaway'; OldSlot: -1; NewSlot: 4
[Data: 20/05/17 21:04:03][Room.RemovePlayer] Jogador '5806' 'Kaway'; OldSlot: 4; NewSlot: -1
[Data: 20/05/17 21:04:05][Room.RemovePlayer] Jogador '5805' 'JOSEP'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 21:04:14][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 21:04:28][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 5; NewSlot: 2
[Data: 20/05/17 21:04:31][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 21:05:11][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 21:05:18][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 21:05:19][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 21:06:01][Room.addPlayer] Jogador '5805' 'JOSEP'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 21:09:46][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 4
[Data: 20/05/17 21:09:55][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 4; NewSlot: 5
[Data: 20/05/17 21:14:11][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: 7
[Data: 20/05/17 21:14:22][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 21:14:24][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 7; NewSlot: 4
[Data: 20/05/17 21:14:25][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: 1
[Data: 20/05/17 21:14:27][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 4; NewSlot: 7
[Data: 20/05/17 21:14:28][Room.SwitchNewSlot] Jogador '5794' 'zMarcosRajada'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 21:14:29][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 7; NewSlot: 4
[Data: 20/05/17 21:14:30][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 4; NewSlot: 1
[Data: 20/05/17 21:15:06][Room.addPlayer] Jogador '5806' 'Kaway'; OldSlot: -1; NewSlot: 4
[Data: 20/05/17 21:15:20][Room.RemovePlayer] Jogador '5806' 'Kaway'; OldSlot: 4; NewSlot: -1
[Data: 20/05/17 21:16:00][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 5; NewSlot: 4
[Data: 20/05/17 21:16:52][Room.RemovePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 21:18:18][Room.addPlayer] Jogador '5807' 'KAWAY1'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 21:18:24][Room.RemovePlayer] Jogador '5807' 'KAWAY1'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 21:18:26][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 4; NewSlot: 5
[Data: 20/05/17 21:20:08][Room.addPlayer] Jogador '5807' 'KAWAY1'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 21:20:33][Room.RemovePlayer] Jogador '5807' 'KAWAY1'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 21:21:15][AllUtils.TryBalancePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 1; NewSlot: 1
