[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 11:46'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:02'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 22:02'
[.fakerank 53] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 22:03'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:03'
[.fakerank 25] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 22:03'
[.fakerank 53] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 22:03'
[.fakerank] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:42'
[.changeranl] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:42'
[.changerank] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:42'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:42'
[.fakerank 5759 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:43'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:53'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:53'
[.banae2 5772] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:54'
[.banAE2 5772] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 22:55'
[.changerank 54] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 23:06'
[.changerank 5760 54] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 23:07'
[.changerank 5760 54] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:07'
[.changerank 5760 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:07'
[.fakerank 5760 54] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:07'
[.changerank 5760 45] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:08'
[.changerank 5759 45] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:09'
[.changerank 5759 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:10'
[.changerank 5760 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:10'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:10'
[.help 3] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 23:11'
[.help3] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 23:11'
[.fakerank 54] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:11'
[.fakerank 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:11'
[.help3] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 23:11'
[.changerank 5759 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 23:12'
[.end] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 00:08'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:20'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:20'
[.setvip 5768 6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:21'
[.setvip 5768 5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:21'
[.setvip 5768 4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:21'
[.setvip 5768 3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:21'
[.setvip 5768 2] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 19:21'
[.help4] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '05/05/20 20:05'
[.g leandro morre pro CJonaas] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '05/05/20 20:06'
[.help] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:41'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:41'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:42'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:42'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:42'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 55] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 56] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 57] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 58] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 59] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:51'
[.changerank 5760 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5760 61] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5760 59] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5760 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5760 5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5760 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.changerank 5777 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:52'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:53'
[.cpd 5777 300000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:54'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:56'
[.setvip 5777 2] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 20:56'
[.g seja bem vindo] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '05/05/20 21:51'
[.g para pegar seu vip saia da sala por favor] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 21:53'
[.setvip 5779 2] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 21:54'
[.changerank 5779 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 21:59'
[.g podem entrar] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '05/05/20 21:59'
[.g desculpa se ando meio off to atendendo uns cliente do ML] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 21:59'
[.changerank 5779 1] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:11'
[.changerank 5779 0] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:11'
[.changerank 5777 0] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:11'
[.changerank 5777 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:12'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:19'
[.cpd 5779 300000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:19'
[.changerank 5779 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:21'
[.changerank 5779 59] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:22'
[.changerank 5779 58] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:22'
[.changerank 5779 56] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:22'
[.changerank 5779 60] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '05/05/20 22:22'
[.g shelby 1919 bem vindo ao project night club] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '06/05/20 00:01'
