[.changerank 5759 54] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '07/05/20 19:28'
[.g vai jogando os bots que vou configura uma coisa aqui] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 20:44'
[.g Destroylife1000 anti click ativado conta bloqueada ] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:11'
[.g Destroylife1000 anti click ativado conta bloqueada ] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:11'
[.g Destroylife1000 anti click ativado conta bloqueada ] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:11'
[.g click ativate multi] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:48'
[.g click ativate multi click on] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:49'
[.g click ativate multi click on] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:55'
[.g click ativate multi click on] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:56'
[.g click ativate multi click on] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 22:58'
[.gvisor capture] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 23:00'
[.g visor capture] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 23:00'
[.g visor capture] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 23:01'
[.g config launcher sucefull] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 23:07'
[.g test bing] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '07/05/20 23:34'
[.g gogooggoog] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '08/05/20 02:38'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '08/05/20 03:31'
[.g espeed] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '08/05/20 20:19'
[.help3] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '08/05/20 20:22'
[.kp Destroylife1000] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '08/05/20 20:23'
